Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
95.00,100.00,98.33,90.00,86.67,94.00±5.60
93.33,51.67,85.00,70.00,88.33,77.67±16.94
100.00,100.00,100.00,91.67,93.33,97.00±4.15
100.00,100.00,98.33,100.00,100.00,99.67±0.75
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,98.33,91.67,100.00,100.00,98.00±3.61
100.00,100.00,100.00,100.00,98.33,99.67±0.75
100.00,100.00,91.67,100.00,98.33,98.00±3.61
91.67,81.67,68.33,81.67,91.67,83.00±9.60
98.00,93.17,93.33,93.33,95.67,94.70±7.48
