Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
82.50,75.00,83.75,88.75,75.00,81.00±5.96
63.75,70.00,73.75,85.00,82.50,75.00±8.79
53.75,57.50,65.00,55.00,61.25,58.50±4.63
96.25,95.00,92.50,93.75,92.50,94.00±1.63
55.00,57.50,61.25,63.75,52.50,58.00±4.56
85.00,82.50,83.75,81.25,77.50,82.00±2.88
93.75,98.75,96.25,97.50,93.75,96.00±2.24
73.75,72.50,67.50,72.50,65.00,70.25±3.79
71.25,76.25,75.00,73.75,70.00,73.25±2.59
57.50,87.50,83.75,60.00,35.00,64.75±21.44
98.75,100.00,98.75,98.75,97.50,98.75±0.88
90.00,91.25,88.75,88.75,88.75,89.50±1.12
58.75,57.50,72.50,55.00,51.25,59.00±8.07
83.75,82.50,70.00,76.25,92.50,81.00±8.45
85.00,73.75,75.00,73.75,70.00,75.50±5.63
91.25,95.00,92.50,97.50,95.00,94.25±2.44
76.25,82.50,75.00,81.25,86.25,80.25±4.63
96.25,95.00,96.25,96.25,97.50,96.25±0.88
76.25,82.50,78.75,68.75,62.50,73.75±8.05
57.50,52.50,56.25,53.75,50.00,54.00±2.98
76.25,72.50,86.25,83.75,82.50,80.25±5.69
63.75,66.25,57.50,53.75,48.75,58.00±7.16
32.50,28.75,27.50,40.00,20.00,29.75±7.31
57.50,51.25,66.25,55.00,60.00,58.00±5.63
73.75,87.50,80.00,87.50,82.50,82.25±5.76
61.25,58.75,57.50,61.25,63.75,60.50±2.44
88.75,77.50,87.50,85.00,86.25,85.00±4.42
62.50,71.25,62.50,66.25,66.25,65.75±3.60
66.25,87.50,85.00,71.25,80.00,78.00±9.04
98.75,97.50,97.50,97.50,98.75,98.00±0.68
87.50,97.50,97.50,93.75,95.00,94.25±4.11
95.00,97.50,90.00,97.50,96.25,95.25±3.11
70.00,77.50,81.25,67.50,63.75,72.00±7.21
30.00,30.00,23.75,36.25,36.25,31.25±5.23
45.00,52.50,60.00,52.50,50.00,52.00±5.42
97.50,100.00,98.75,100.00,98.75,99.00±1.05
97.50,93.75,97.50,93.75,97.50,96.00±2.05
86.25,92.50,86.25,86.25,87.50,87.75±2.71
92.50,87.50,90.00,93.75,93.75,91.50±2.71
78.75,77.50,67.50,78.75,63.75,73.25±7.10
85.00,90.00,83.75,88.75,82.50,86.00±3.24
76.25,76.25,75.00,82.50,77.50,77.50±2.93
100.00,93.75,98.75,98.75,92.50,96.75±3.38
83.75,96.25,97.50,95.00,93.75,93.25±5.49
46.25,57.50,55.00,50.00,50.00,51.75±4.47
70.00,73.75,72.50,71.25,72.50,72.00±1.43
28.75,32.50,27.50,27.50,35.00,30.25±3.35
88.75,91.25,91.25,87.50,83.75,88.50±3.11
100.00,97.50,97.50,98.75,98.75,98.50±1.05
88.75,93.75,97.50,88.75,88.75,91.50±3.99
42.50,36.25,40.00,50.00,43.75,42.50±5.08
90.00,88.75,85.00,87.50,80.00,86.25±3.95
77.50,78.75,61.25,66.25,76.25,72.00±7.79
50.00,38.75,31.25,55.00,52.50,45.50±10.10
74.72,76.57,75.93,76.11,73.98,75.46±18.66
