Fold1,Fold2,Mean±Std
83.33,87.50,85.42±2.95
81.25,89.58,85.42±5.89
68.75,60.42,64.58±5.89
91.67,95.83,93.75±2.95
58.33,64.58,61.46±4.42
97.92,85.42,91.67±8.84
97.92,93.75,95.83±2.95
79.17,72.92,76.04±4.42
77.08,85.42,81.25±5.89
81.25,91.67,86.46±7.37
100.00,97.92,98.96±1.47
93.75,97.92,95.83±2.95
79.17,72.92,76.04±4.42
91.67,85.42,88.54±4.42
77.08,83.33,80.21±4.42
95.83,93.75,94.79±1.47
89.58,77.08,83.33±8.84
95.83,100.00,97.92±2.95
81.25,77.08,79.17±2.95
77.08,66.67,71.88±7.37
79.17,89.58,84.38±7.37
68.75,68.75,68.75±0.00
41.67,35.42,38.54±4.42
66.67,64.58,65.62±1.47
85.42,91.67,88.54±4.42
81.25,70.83,76.04±7.37
89.58,91.67,90.62±1.47
75.00,79.17,77.08±2.95
79.17,83.33,81.25±2.95
95.83,97.92,96.88±1.47
95.83,100.00,97.92±2.95
97.92,97.92,97.92±0.00
87.50,81.25,84.38±4.42
47.92,52.08,50.00±2.95
56.25,66.67,61.46±7.37
100.00,100.00,100.00±0.00
93.75,95.83,94.79±1.47
91.67,87.50,89.58±2.95
91.67,93.75,92.71±1.47
81.25,68.75,75.00±8.84
95.83,91.67,93.75±2.95
77.08,79.17,78.12±1.47
97.92,97.92,97.92±0.00
93.75,100.00,96.88±4.42
68.75,75.00,71.88±4.42
97.92,91.67,94.79±4.42
39.58,29.17,34.38±7.37
91.67,87.50,89.58±2.95
97.92,100.00,98.96±1.47
93.75,95.83,94.79±1.47
54.17,56.25,55.21±1.47
95.83,89.58,92.71±4.42
95.83,87.50,91.67±5.89
70.83,50.00,60.42±14.73
82.87,81.98,82.43±15.38
